,Ratings,sentiment,Reviews_fin
0,5,1,"received, defective, iphone, gb, silver, colour, great, indian, festival, sale, amazon, delivered, product, daybut, product, seems, non, functional, rear, camera, get, freeze, due, faulty, camera, sensor, save, time, money, bought, amazon, online, estore, amazon, representative, asked, visit, apple, service, store, far, wasted, precious, time, mind, phone, sold, sold, appario, retail, private, ltd, im, really, fed, till, expecting, amazon, quick, action"
3,5,1,"apple, fan, true, beauty, go"
4,5,1,"day, found, battery, health, disappointing, experience, suggest, user, buy, apple, device, worst, battery, setup"
5,5,1,"totally, disappointed, within, month, paint, started, coming, iphone, started, heating, didnt, aspect, apple, seller, gave, really, bad, product, exchange, producti, couldnt, believe, paint, starting, came, early, purchased, devise, jan, today, jan, barely, month, passedi, want, refund, seller"
8,5,1,"everything, awesome, come, iphone, surely, love, day, usesthanks, amazon, service, phone, nice, cool, fingerprint, work, fast, finealso, display, cool, sound, clarity, excellent, phone, slim, processor, fast, nice, performance, gaming, compare, android, phone, superbcons, however, lag, behind, successor, faceidgo, iphone, x, higher"
9,5,1,"iphone, hearing, problem"
10,5,1,"received, defective, iphone, gb, silver, colour, great, indian, festival, sale, amazon, delivered, product, daybut, product, seems, non, functional, rear, camera, get, freeze, due, faulty, camera, sensor, save, time, money, bought, amazon, online, estore, amazon, representative, asked, visit, apple, service, store, far, wasted, precious, time, mind, phone, sold, sold, appario, retail, private, ltd, im, really, fed, till, expecting, amazon, quick, action"
12,5,1,"redmi, phone, camera, great, course, iphone, better, redmi, phone, get, iphone, justifiable, difference, price, well, absolutely, yesiphone, camera, better, much, better, comparing, like, comparing, alto, bmw, yes, wheel, ac, run, kmph, know, differencethe, high, price, iphone, justified, sheer, brilliance, camera, sure, mp, clarity, mysure, battery, compared, redmi, last, longer, redmii, know, comparing, low, budget, phone, premium, one, many, people, one, able, see, reason, behind, steep, price, iphonei, using, macbook, year, since, work, depends, need, phone, necessity, like, laptop, calling, taking, pic, occasionally, slr, photographybut, wrong, iphone, iphone, use, turning, backmy, last, iphone, since, love, buying, phone, every, month, shifted, android, redmi, samsung, honor, satiate, hunger, new, phone, phone, superb, doubt, use, iphone, know, difference, phone, iphone, got, much, bigger, cameraand, feature, like, airdrop, pic, transferred, phone, macbook, within, second, good, using, iphone, macbookbottom, line, iphone, jumped, big, leap, almost, similar, x, double, price, probably, thing, taken, account, iphone, best, value, money, among, phone, india"
15,5,1,"totally, disappointed, within, month, paint, started, coming, iphone, started, heating, didnt, aspect, apple, seller, gave, really, bad, product, exchange, producti, couldnt, believe, paint, starting, came, early, purchased, devise, jan, today, jan, barely, month, passedi, want, refund, seller"
16,5,1,"first, one, would, want, know, product, genuine, refurbished, coz, amazon, big, sale, got, kbefore, unboxing, checked, apple, website, online, check, serial, emei, detailsand, genuine, new, handsetphone, working, greatdelivery, also, quick, day"
17,5,1,"good, spec, handle, update, next, yr, good, phone, people, dont, use, power, hungry, apps, long, duration, camera, definitely, upto, mark"
20,5,1,"exactly, one, year, week, ear, piece, ddnt, work, went, store, asked, k, replacement, useless, phone, premium, price, tag, k, phone, dont, even, work, year, plus, type, problem, phone, went, trouble, exactly, warrantyuselessthese, big, company, take, india, indian, ridei, would, never, buy, apple, product, sure"
21,5,1,"battery, life, device, minimal, drain, fast, day, usage, battery, health, reduced, using, iphone, last, year, product, delivered, astonishing, value, money, provided, amazon, iphone"
22,5,1,"coming, oneplus, phone, great, upgrade, always, wanted, know, io, popular, well, never, disappoints, writing, review, one, year, purchasing, work, like, charm, still, dont, feel, need, upgrade, device, iphone, x, x, work, flawlessly, without, lag, delay, whatsoever, camera, greatthe, problem, battery, life, isnt, enough, complete, day"
24,5,1,"browser, support, html, video, packet, totally, damaged, ph, dead, condition, also, seal, box, attached, video, reference"
28,5,1,"poor, product, want, replace, product, battery, back, good, decreasing, every, min, recently, iphone, wasnt, stand, decresed, last, night"
36,5,1,"like, durable, phone, dropped, first, time, tall, drop, minor, dent, damage, done, phonecoming, battery, life, easily, fulfil, daythe, camera, phone, still, better, oneplus, smartphoneim, writing, review, year, half, saw, price, suggest, go, feel, quality"
39,5,1,"got, product, time, harrasment, start, product, overheating, calling, sound, bad, even, unable, hear, word, call, camera, suck, seems, old, prosuct, new, packagingtried, call, amazon, support, pathetic, forced, contact, apple, support, apple, support, also, suck, avoiding, issue, give, support"
