,Customer_name,Reviewed_date,Ratings,Reviews,Review_title
0,Bharath Kumar,7 March 2019,5.0 out of 5 stars,"  i received defective iphone 7 32GB silver colour during ""Great Indian Festival Sale 2018"".Amazon delivered the product in a Day.But Product seems to be non functional. as Rear camera get Freeze due to faulty camera sensor. Just to save the time & money, i bought it from Amazon online E-store. Now Amazon representative, asked me to visit Apple Service store. So far i have wasted my precious time & my mind . The phone was sold by ""Sold by Appario Retail Private Ltd "" .I'm really fed up till now. expecting Amazon to do quick action against it.",Buy iPhone SE 2020
1,jaywant,29 October 2018,1.0 out of 5 stars,  Thanks for Amazon service. phone is very nice and cool also is the display was very very cool the sound clarity is excellent and phone is very slim. And the processor is very fast Nice performance in gaming. Compare to other phones this is superb.,Good
2,jaywant,29 October 2018,1.0 out of 5 stars,"  Redmi phones cameras are great, of course iPhone is better but is the 6 more Redmi phones that I can get for 1 iPhone justifiable for such a difference in price? Well, absolutely yes.iPhone camera is not just better, it is so much better than comparing them are like comparing a Alto with BMW, yes both have 4 wheels, both have AC, both can run at 100 kmph, but you know the difference.The high price of iPhone is so justified by the sheer brilliance of camera it has. Sure it is just 12 MP, but the clarity, my o my!Sure the battery is just about 2600 compared to 3500 of a Redmi, but it lasts longer than a Redmi.I know I am comparing a low budget phone to a premium one, but there are so many people (I was one of them) who were not able to see the reason behind the steep price of iPhone.I have been using a MacBook for 10 years and since my work depends on it, I need it, but a phone? Why? It is not a necessity like the laptop, it is just for calling and taking pics occasionally, and I have my SLR for photography.But I was so wrong, an iPhone is an iPhone. Once you use it, there is no turning back.My last iPhone was a 4S and then since I love buying phones every 6 months, I shifted to Android (Redmi, Samsung, Honor) to satiate my hunger for new phones. All these phones are superb, no doubt, but once you use the iPhone 7, you know that the difference between these phones and iPhone 6s has got much bigger because of the camera.And features like Airdrop (100 pics transferred from the phone to Macbook within 4-5 seconds) are so good if you are using both iPhone and Macbook.Bottom line, iPhone 7 has jumped a big leap from the 6s and the 8 is almost similar. The X is double the price of a 7, so probably all things taken in account, the iPhone 7 is the best value for money among all phones in India",Great phone...
3,Bharath Kumar,7 March 2019,5.0 out of 5 stars,  If you are an apple fan !! This is a true beauty to go for !!,Good
4,Utpal Das,13 November 2018,5.0 out of 5 stars,  in 20 days i found my battery health 98% which was very disappointing experience.  i suggest all the users for not to buy any apple device which is very worst battery setup.,Wow
5,Rishabh,10 March 2019,5.0 out of 5 stars,"  Totally disappointed within a month paint started to coming off, iphone started heating. I didn’t aspect this from apple. Seller gave really bad product. How can I exchange my product.I couldn’t believe that paint is starting to came off so early. I purchased this devise on 6 jan 2020 and today is 23 jan 2020 barely a month passed.I want my refund from this seller.",Pros & Cons
6,zishan ali,29 July 2020,1.0 out of 5 stars,"  First of all one would want to know is the product genuine and not refurbished coz during Amazon Big Sale I got it for 35k.Before unboxing the I checked up at Apple website and Online check with serial no , EMEI no and other detailsAnd it was 100% genuine and new Handset.Phone is working greatDelivery was also quick in 03 days ..",In just three months phone developed Hardware problems
7,mohammad n.,23 January 2020,1.0 out of 5 stars,"  Very good specs which can handle updates for next 4 yrs .Good phone for people who don't use power hungry apps for long durations ,camera definitely upto the mark",Not worth it in 2021
8,Keshav Singh,18 October 2018,5.0 out of 5 stars,  Everything is awesome when it comes to an iphone. You will surely love it after few days uses.Thanks for Amazon service. phone is very nice and cool. Fingerprint work fast and fine.also is the display was very cool the sound clarity is excellent and phone is very slim. And the processor is very fast Nice performance in gaming. Compare to other android  phones this is superb.Cons:- however now it lags behind its successors in not having FaceID.Go for iphone X or higher.,Not good for the price
9,Vikram Nayak ,13 May 2019,5.0 out of 5 stars,  This iPhone7 is in hearing problems. What Can I do,Poor performance
10,Sunil Bhawariya,26 August 2019,5.0 out of 5 stars,"  i received defective iphone 7 32GB silver colour during ""Great Indian Festival Sale 2018"".Amazon delivered the product in a Day.But Product seems to be non functional. as Rear camera get Freeze due to faulty camera sensor. Just to save the time & money, i bought it from Amazon online E-store. Now Amazon representative, asked me to visit Apple Service store. So far i have wasted my precious time & my mind . The phone was sold by ""Sold by Appario Retail Private Ltd "" .I'm really fed up till now. expecting Amazon to do quick action against it.",
11,Lalit A.,10 October 2017,2.0 out of 5 stars,  Thanks for Amazon service. phone is very nice and cool also is the display was very very cool the sound clarity is excellent and phone is very slim. And the processor is very fast Nice performance in gaming. Compare to other phones this is superb.,
12,Bharath Kumar,7 March 2019,5.0 out of 5 stars,"  Redmi phones cameras are great, of course iPhone is better but is the 6 more Redmi phones that I can get for 1 iPhone justifiable for such a difference in price? Well, absolutely yes.iPhone camera is not just better, it is so much better than comparing them are like comparing a Alto with BMW, yes both have 4 wheels, both have AC, both can run at 100 kmph, but you know the difference.The high price of iPhone is so justified by the sheer brilliance of camera it has. Sure it is just 12 MP, but the clarity, my o my!Sure the battery is just about 2600 compared to 3500 of a Redmi, but it lasts longer than a Redmi.I know I am comparing a low budget phone to a premium one, but there are so many people (I was one of them) who were not able to see the reason behind the steep price of iPhone.I have been using a MacBook for 10 years and since my work depends on it, I need it, but a phone? Why? It is not a necessity like the laptop, it is just for calling and taking pics occasionally, and I have my SLR for photography.But I was so wrong, an iPhone is an iPhone. Once you use it, there is no turning back.My last iPhone was a 4S and then since I love buying phones every 6 months, I shifted to Android (Redmi, Samsung, Honor) to satiate my hunger for new phones. All these phones are superb, no doubt, but once you use the iPhone 7, you know that the difference between these phones and iPhone 6s has got much bigger because of the camera.And features like Airdrop (100 pics transferred from the phone to Macbook within 4-5 seconds) are so good if you are using both iPhone and Macbook.Bottom line, iPhone 7 has jumped a big leap from the 6s and the 8 is almost similar. The X is double the price of a 7, so probably all things taken in account, the iPhone 7 is the best value for money among all phones in India",
13,jaywant,29 October 2018,1.0 out of 5 stars,  If you are an apple fan !! This is a true beauty to go for !!,
14,jaywant,29 October 2018,1.0 out of 5 stars,  in 20 days i found my battery health 98% which was very disappointing experience.  i suggest all the users for not to buy any apple device which is very worst battery setup.,
15,Bharath Kumar,7 March 2019,5.0 out of 5 stars,"  Totally disappointed within a month paint started to coming off, iphone started heating. I didn’t aspect this from apple. Seller gave really bad product. How can I exchange my product.I couldn’t believe that paint is starting to came off so early. I purchased this devise on 6 jan 2020 and today is 23 jan 2020 barely a month passed.I want my refund from this seller.",
16,Utpal Das,13 November 2018,5.0 out of 5 stars,"  First of all one would want to know is the product genuine and not refurbished coz during Amazon Big Sale I got it for 35k.Before unboxing the I checked up at Apple website and Online check with serial no , EMEI no and other detailsAnd it was 100% genuine and new Handset.Phone is working greatDelivery was also quick in 03 days ..",
17,Rishabh,10 March 2019,5.0 out of 5 stars,"  Very good specs which can handle updates for next 4 yrs .Good phone for people who don't use power hungry apps for long durations ,camera definitely upto the mark",
18,zishan ali,29 July 2020,1.0 out of 5 stars,  Everything is awesome when it comes to an iphone. You will surely love it after few days uses.Thanks for Amazon service. phone is very nice and cool. Fingerprint work fast and fine.also is the display was very cool the sound clarity is excellent and phone is very slim. And the processor is very fast Nice performance in gaming. Compare to other android  phones this is superb.Cons:- however now it lags behind its successors in not having FaceID.Go for iphone X or higher.,
19,mohammad n.,23 January 2020,1.0 out of 5 stars,  This iPhone7 is in hearing problems. What Can I do,
20,Keshav Singh,18 October 2018,5.0 out of 5 stars,"  Exactly after one year 1 week the ear piece ddnt work. when i went to the store they asked me 35k for replacement. useless phones. for the premium price tag of 55-60K the phones dont even work for 1 year. I had 5s, 6 Plus and this 7. All had same type of problems and the phone went into trouble exactly after warranty.Useless.These big companies take india and indians for a ride.I would never buy any apple products for sure.",
21,Vikram Nayak ,13 May 2019,5.0 out of 5 stars,"  Battery life of my device is minimal. Drains so fast. In 4 days of usage, battery health reduced to 98%. I am using iPhone for last 4-5 years. But this product delivered was astonishing. Value for money not provided by Amazon for iPhone 7.",
22,Sunil Bhawariya,26 August 2019,5.0 out of 5 stars,"  Coming from oneplus 3, this phone has been a great upgrade. Always wanted to know why the iOS is so popular. Well it is because it never disappoints. I am writing this review one year after purchasing it and it works like a charm. Still. I don’t feel the need to upgrade to some other device (iphone 8, x or xs) because it works flawlessly without any lag or delay whatsoever. The camera is great.The only problem is the battery life which isn’t enough for a complete day.",
23,Lalit A.,10 October 2017,2.0 out of 5 stars,"  I got the delivery of this phone on December 30th. I bought an iphone 7 specifically because of the button when I broke my old 6S.Since the day I bought this phone, it had been showing battery drain and overheating. I thought it would be due to the intense icloud downloads that the phone was doing in the background. Ever since day 1, the phone wouldn't receive calls or can make calls. I thought it would be a network issue.I tried doing a return after 2 days noticing the phone's not showing any signs of proper useability without a charger at hand at all times. But Amazon would not allow me to return it saying contact Apple support. Now apple support was on Holidays till 3rd of January.Finally when I got to Apple support, they have done a diagnostic and couldn't find anything unusual, but asked me to observe for 3 more days. 3 more days, I contacted Apple for them to tell me to take it to a service center. Still cannot make phone calls or receive them. I tried returning through multiple different options, which all led me back to amazon responding saying contact apple support. I went to the Vodafone store to confirm if I had any network issues, only for them to find out, no matter which sim they put in my phone, it will not make or receive phone calls.So I went to the service centre for them to keep my phone under observation for another 5 days. And they acknowledged the phone's showing temperature and battery drain, but since Apple diagnosis isn't showing any issues, they asked me to continue using the phone for another 1-2 weeks.Now, as they did restore the phone, I tried coming back home with my sim card, only to see, the same issue, that I cannot make phone calls or receive them. I can send/receive text messages. I contacted Apple support again, for them to acknowledge now that there is an issue and I have to send it for service.Now as the return period is conveniently over, Amazon refuses to do anything to take the faulty product back. I have wasted 2 weeks of time and energy running around trying to get this phone fixed, only to waste another week or two for the phone to go out and get repaired and come back.Amazon has responded asking me to get a ""service denied letter"" from Apple support for them to refund and take return of this product that I have wasted 2 weeks on.So, long story short, go buy it from a local store. You buy it from Amazon, be prepared to chase tails and run around like headless chicken to sort out any issue you're facing. Worse, if you're in a place with no local authorised apple service centre.",
24,Bharath Kumar,7 March 2019,5.0 out of 5 stars,"  Your browser does not support HTML5 video.


   Packet was totally damaged & ph is in dead condition, also there is no seal on the box , attached video for your reference",
25,jaywant,29 October 2018,1.0 out of 5 stars,  Over all phone is very good except it’s  battery. If you are a full time internet user don’t buy this phone. Battery life maximum 8 hours if you using full time internet.,
26,J Balaji,6 March 2019,1.0 out of 5 stars,  battery life is bad... also now ios system files take up 15 gb so approx 15gb left for files storage... becomes very less... apple should give users 32 gb useable space as they are charging us for it.,
27,Ahsan,3 September 2020,1.0 out of 5 stars,"  This is my first ever iPhone. To be honest, it was really tougher for me initially to understand things on an iPhone when you're used with Android phones for several years. The first problem I faced is when I want all my contacts from Android phones to to my iPhone. Fortunately some app in the app store helped me copying the contacts from my Google account to iPhone. However I was not able to get the WhatsApp backup from Android to iPhone. Reading some tutorials made me understand that it is better to lose the chats to spend hours on the procedure.No launcher like Android (Probably iPhone users are used with it).• The fingerprint sensor is not as fast and responsive as my Google Pixel 2 XL.• The camera clarity is good. I would not say it is better or best, just good.• Water resistant phone is a relief point.• Call clarity and earphones clarity are good.• Only earphones with lightning interface can be connected, forget your traditional 3.5mm earphones. No adapters are given with the phone, may be you can get one from the market, I believe.• Battery back, charging time are good.• A big relief point is many Google apps such as Google Photos, Google Play Music are available for iPhone, therefore no pain of synchronizing music and photos.Apple fans may argue the price is because it's Apple's phone, okay, but many Android phones with higher specifications are available for this or even lesser price range. If you come from Android platform to iPhone, this might be little disappointing, gives you pain and make you feel cluttered.",
28,Mandeep B.,4 October 2018,5.0 out of 5 stars,"  Poor product, I want to replace this product , Battery back up is not at all good, decreasing every 2-3min, I recently had iphone 6s and it wasn't the same. On stand by it decresed 20% last night",
29,Akhil Jude,12 January 2021,1.0 out of 5 stars,  I have been using it since the last 2 days and have noticed some heating issues .. We have 2 other iPhone 7’s but none of them heat up like this one .. Usually heats up when I’m on an application or charging . Will definitely return the product .Really disappointed,
30,ranjeet,17 October 2020,1.0 out of 5 stars,"  Being an Apple customer enjoying IPOD & MAC...This time i took a decision to buy my 1st Apple Phone..But i am totally disappointed with a Poor battery Performance!!!Eventhough it is  not competing with my three years old samsung phone.After 1st week Audio volume for phone calls are pretty low which was not at all audible unless in speakerphone or ear phone.Feeling lot of heat while in calls. Battery draining like rocket. In Hotspot sharing the battery level is draining too fast. I have tried factory reset, software update, Background apps pause, power save mode, mobile data off...but there is no improvement in the battery performance.Finally on the 10th day decided to return back the product to amazon. Unfortunately  options are not allowed/ and the radio buttons not allowed me to place the request.tried to reach customer care but failed to reach them.As a lost resort tired to reach apple customer care. Indian(Bangalore Numbers there is no response).Another time call connected to Australian  call center (Per minute Rs.30 charge.)before reaching executive the call was disconnected with huge BIll.Finally I placed a call back request to apple customer care.an executive called from Singapore Center and convinced me with a message ""in this COVID 19 days we may not support you at service centers@Chennai"".. He guided me to send some analytics (reports) forward to him and to my surprise he confirmed there is no issue in the phone.!!!!!!He sent few basic FAQs on Iphone 7 Battery optimization which is not all all useful for my issue.Now the sad part is i am carrying my phone with charger mostly 4 to 5 charges per day for very minimal calls/Whatsup usage.The worst part is... even though in standby mode also the battery was draining fast.Finally i need to check in Airplane Mode before pack into my box.I strongly believe Iphone 7 had some bugs with battery management.",
31,Amazon Customer,6 October 2018,1.0 out of 5 stars,  iPhone 7Display-8/10Battery-9/10Camera- 9/10Sound- 10/10Performance-9/10,
32,Pammi,29 June 2018,3.0 out of 5 stars,"  Apple iPhone 7 smartphone was launched in September 2016. The phone comes with a 4.70-inch touchscreen display with a resolution of 750x1334 pixels at a pixel density of 326 pixels per inch (ppi) and an aspect ratio of 16:9.Apple iPhone 7 is powered by a 2.34GHz quad-core Apple A10 Fusion processor. It comes with 2GB of RAM.The Apple iPhone 7 runs iOS 10 and is powered by a 1960mAh non-removable battery.As far as the cameras are concerned, the Apple iPhone 7 on the rear packs a 12-megapixel camera with an f/1.8 aperture. The rear camera setup has phase detection autofocus. It sports a 7-megapixel camera on the front for selfies, with an f/2.2 aperture.Apple iPhone 7 based on iOS 10 and packs 32GB of inbuilt storage. The Apple iPhone 7 is a single SIM (GSM) smartphone that accepts a Nano-SIM card.Connectivity options on the Apple iPhone 7 include Wi-Fi 802.11 a/b/g/n/ac, GPS, Bluetooth v4.20, NFC, Lightning, 3G, and 4G (with support for Band 40 used by some LTE networks in India). Sensors on the phone include accelerometer, ambient light sensor, barometer, compass/ magnetometer, gyroscope, proximity sensor, and fingerprint sensor.The Apple iPhone 7 measures 138.30 x 67.10 x 7.10mm (height x width x thickness) and weighs 138.00 grams. It was launched in Black, Gold, Jet Black, Matte Black, Red, Rose Gold, and Silver colours.",
33,Sarvap Praharanayuthan,18 May 2019,3.0 out of 5 stars,  Battery issue. Lasts only 8 hrs. Apple and Amazon website declares 13 hrs of LTE usage. But Apple service centre rejected it and said 8 hrs is the normal life of an iPhone. You have to charge 3 times in a day.Irritating.Amazon have no return policy for the device complaint. You have to approach Apple care only.,
34,Sadiq Brown,10 February 2018,1.0 out of 5 stars,  I ordered the 32 GB iPhone 7 via Amazon. The phone arrived on time and well packed. The phone was absolutely new and the manufacturing date was as recent asOctober 2018 itself.  The phone is definitely an excellent upgrade over the iPhone 6 and 6s. It comes pre loaded with iOS 12.0.1 and is extremely fast and zippy. The built of the phone is superb and it feels extremely premium. The camera is amazing and the sound quality is loud with a clear output. Overall an excellent phone.,
35,Amazon Customer,18 May 2018,1.0 out of 5 stars,"  Fingerprints working is good ,battery backup is bad and camera quality good.....",
36,Bharath Kumar,7 March 2019,5.0 out of 5 stars,"  I like how durable this phone is, when I dropped for the first time it was too tall drop and a minor dent was only damage done to my phone.Coming to battery life it will easily fulfil your day.The camera on this phone still better than OnePlus 6T and other smartphoneIm writing this review after a year and half and saw this price I only suggest you just go for it feel the QUALITY!!!",
37,jaywant,29 October 2018,1.0 out of 5 stars,  I’m giving one star due to its poor performance in data connectivity. The internet connectivity is very bad. My iPhone 5s was far far better as compared to iPhone 7 performance in terms of connectivity. It has been 36 days since I bought this phone and I already feeling like throwing this phone n go for some android phone. I had a good conversation with the apple support n he also could not figure out the issue n asked me to go to a apple store n get it checked.,
38,Amazon Customer,24 March 2020,1.0 out of 5 stars,"  From the time I bought the iPhone 7, it shut off, then went dead. Dud a soft restart & a hard reset. Still does not work. Amazon will not accept it back. DO NOT BUY FROM AMAZON. They cheat you.",
39,Nitish,8 March 2020,5.0 out of 5 stars,"  Got this product on time, but the harrasment start after that. Product is overheating, calling sound is too bad even unable to hear any words while on call. camera sucks. seems old prosuct in a new packaging.Tried to call amazon support they just pathetic, they forced me to contact with Apple support but Apple support is also sucks. They just avoiding the issue and do not give me support.",
40,SHASHI BHUSHAN,16 March 2020,5.0 out of 5 stars,"  Your browser does not support HTML5 video.


   I placed order on 21st November, 2020 from Appario Retail Pvt Ltd. Received it today(24th Nov). The box was in good condition, with no signs of damage. The month of manufacture was November 2019 and the product is genuine (confirmed serial number). But it wasn't powering on. On connecting charger, Apple logo comes on screen and again goes off. I contacted Amazon support via chat. I was told that as per Apple policy, I have to contact Apple support. Apple advisor asked me to try charging for a few hours. As it didn't work, I took it to Apple authorized service center. They suspected defective hardware and sent the device for inspection._______________________________________________________________________________________Update: The device I got was defective and I got it replaced by Apple Service Provider",
41,pasupathy,1 August 2019,1.0 out of 5 stars,"  I got faulty phone . It’s not working . While Iam trying to apply for replacement , It’s asking me to call up call center . I called up & waiting in queue to talk for last 45 min .Is it apple service ? Why can’t you have India consumer care .@ Amazon , This cat be acceptable . Product need to be replaced .",
42,Arjun Prabhu,8 November 2018,5.0 out of 5 stars,  Obviously this product from descendants of Mr Steve Jobs is pure value for money. I would always recommend to go for this unless you are planning to go for an Android device. And yess !! Be ready to spend some more on other connectivity accessories and its truly said “With great power comes great responsibility”,
43,Vijendra kumar,1 August 2020,4.0 out of 5 stars,  Sent me faulty and used(Open box) item. have to press home button multiple times to start screen. now unable to return it.,
44,Sourabh Dhawan,6 November 2018,5.0 out of 5 stars,  Packing I received was only the mobile case with no other protection to the box. It was seen that while handling box had got some punctures on the corner due to no bubble bag or any other box. 5- Star for the phone and 1- Star for the amazon service,
45,Mahesh Chitrashekar,14 February 2020,1.0 out of 5 stars,"  iPhone 7 is excellentUsing iPhones since 2014 so no difficulty in handling the device.Fingerprint is fast and it improves as when the updates are released.Camera quality is very good compared to old devices in my caseBattery life depends on the usage, no of apps downloaded, how many times u do full charge etc.I will recommend to go for iPhone as u get timely updates which is a must for the better working of the device.There are some cons but if u are not concerned about it then go for it without thinking twice.Apple gives premium devices and Amazon gives best services. So I am satisfied with my purchase.",
46,Ranjit Dasgupta,9 July 2019,1.0 out of 5 stars,"  The moment I received the product I matched the IMEI and serial code on Apple’s website and it was genuine. I updated it to iOS 14.1 and I faced some battery issues for couple days as battery was draining really fast but it normalised with time.Performance is very smooth and I have faced no problems, switching between apps is smooth as cream, screen is beautiful and 7 works really fine in 2020 too.My use is pretty casual, no gaming, only few social media sites and blog reading, news reading, and it gives me 7-9 hours backup on one full charge easy. It may differ if you are a heavy user, some have reported as less as 3 hour backup, so consider this if you are a gamer or heavy user. In the screenshot, you can see that I had charged iPhone to 99% at 9:45 am, and I was almost on screen surfing through YouTube and it gave me almost 5 and a half hour of backup until battery level dropped at 19%.Satisfied purchase, thank you Amazon.",
47,Anowarus salam,23 February 2020,1.0 out of 5 stars,"  1. I received a model that was manufactured in Nov 2019 (1-year old) and was completely discharged, which means that this product was lying unused for more than a year2. The phone has issues with touch and is not responsive a lot of times. This is obvious with any electronic item that remains unused for such a long time3. Amazon is refusing to accept return or provide any form of support on the issue and I am expected to make rounds of Apple service center and spend hours chatting to support teams on a brand new phone that I have paid full price for4. As per Amazon's policy which is mentioned under a hidden tab Amazon will not return/replace this unless you receive a wrong product. So, in essence once you purchase you are on your own5. The entire point of purchasing online is the assurance that the product will be replaced in an unlikely scenario. If that assurance is taken away then buying online makes no sense considering you don't even get to physically see the product before purchasing6. My request to all the readers is to not purchase this product from Amazon and Appario as the policies are not clearly mentioned on the product page and there is no support provided in a genuine case7. After this experience, my trust in Amazon has gotten seriously impacted. I request other buyers to be doubly sure before placing trust on Amazon on expensive products",
48,Bharath Kumar,7 March 2019,5.0 out of 5 stars,"  Writing this review after 2 + years of purchase. Typing from the same phone..hehe...It's an amazing phone. Which was delivered tome by Amazon really quick and well packed.The phone has not given me any problems.I was an android users and couldn't keep a phone for more than 6-8 months without it showing signs of failure. They used to hang... Become slow...heat up....etc....But this beauty is as solid as a rock...I have dropped it.... Got stamped by shoes...on the road..(had a tempered glass protector which was shattered) but nothing happened to the phone....Lovely battery capacity.Overall, even today, with all the other iPhones releasing one after the other....this is a phone worth buying if you have budget restraints...Don't hesitate.",
49,jaywant,29 October 2018,1.0 out of 5 stars,"  Was little nervous after ordering it coz i saw some negative feedback AFTER PLACING THE ORDER. I thought i would probably get an OLD phone or a BRICK delivered instead of a new phone, whereas all of that Phantasmagoria was vanished as i have received a brand new phone which works perfectly well. Not too sure why people left those negative comments. Would suggest all interested buyers to go ahead give it a shot as its worth the money you would pay. By the way i also order a Cover and a Screen-guard later as i was sure that i wont get bricks anymore. Lol cheers",
50,Aaron,24 November 2020,5.0 out of 5 stars,"  Life of this phone  less than 3 yrs,  Is any small parts got  faulted,  service center asked to replace complete display which cost around 15k,  is it worth to buy,  believe this is completely disappointed now,  was iPhone user from 2015 .IPhone being a company need to work on service center abs their manpower n provide them training to reduce cost of  service.",
51,Amazon Customer,4 July 2020,1.0 out of 5 stars,  The phone I ordered didn’t power up at all.. very bad quality and really pathetic service from Amazon... they would not issue me a replacement and now have to go to apple stores (in this COVID situation - no option of doing virtually) to get Amazon a “service denial letter” before they give any sort of support to me.. please consider carefully before you purchase iPhones from Amazon.. they actually asked me to read up the policy (fine print) and that they cannot help me at all of the piece is defective.. better to go to a local retailer for such any high end purchase,
52,kundan kumar,12 September 2018,5.0 out of 5 stars,"  I've been an iphone user since a while and my iphone 5s needed to be upgraded and I was waiting for a good deal. Though I would have liked a better discount I decided to make the best use of Amazon's Prime Sale!The phone has been with about 2 days and its quite early to be able to really comment, however I have faith in Apple. The phone gets quite warm on prolonged use and if this continues I might have to ask for a replacement. Are you there Amazon?",
53,Pranav,16 June 2020,1.0 out of 5 stars,  I bought the product during the great Indian festival sale in October. I really doubt the product is original. Not even been a year the battery life is non existent and camera just refuses to open sometimes. Please do not fall into the trap and invest so much with this seller to just save a few thousand bucks.,
54,Hitesh,12 June 2019,1.0 out of 5 stars,  Nice product..however earpiece volume is little bit concern So some time I repent why I wasted 40k for just phone..also the abolition of 3.5mm jack also annoying (u will have to plug in plug out Digital to Analog converter if you missed ur original earphone which last up to just 6 or 8 months (wire cutting problem from jack ) also it tangles so much and u need 4-5 minutes to solve the puzzle before listening music.Good product specially camera is ultimate far far better than others 10 MP/20 MP.,
55,Vineeth Kuttappan Nair,5 September 2020,5.0 out of 5 stars,  Just after 20 days problem starts. Issue with wifi connectivity & internet speed. Till now from last 15days struggling with Apple with all possible diagnostic no result. Seller Pls replace the product. Amazon pls get it replace.,
56,Siddhārth,5 November 2020,5.0 out of 5 stars,"  I was a fan of apple before my iphone 7, this one and the one I bought few months before this hanged and died. There is a standard reply to pay price of a new phone and get it changed.Problems include power issues, charging issues, restarting, battery die, etc. I would rater buy anything but never apple",
57,Athaliah,29 November 2020,1.0 out of 5 stars,"  I bought it on 15 dec 20. phone battery backup was less but  I was using it becoz I am first time user of iphone, not aware of battery backup, now after using one month battery drained fully even when it is locked . Amazon selling very bad product and denying replacement. I request Never buy any product from Amazon specially electronic item. I suggest becoz it's happened many times with me.",
58,Dr. Anu,6 May 2019,5.0 out of 5 stars,"  Received Phone is dead. Asked for return. They are asking me to reach out to Apple care. Still no luck. After multiple attempts, product got replaced. Now it’s working fine. Thanks to amazon.",
59,Nik,14 December 2020,5.0 out of 5 stars,"  Received product on 31st January 2020. Battery problem, battery draining very fastly... since last 2 weeks it’s with apple authorised service centre @cochin... Everyday they are saying it will clear with 2-3 days... really disappointed",
